page,block_id,x0,y0,x1,y1,text
1,0,640.6298217773438,212.4710693359375,785.00146484375,358.687255859375,"マブチモーター
統合報告書
2025"
1,1,662.5983276367188,345.4403381347656,779.491455078125,376.7242736816406,2024年12月期
2,0,39.685001373291016,406.5002136230469,403.041748046875,438.7698669433594,国際社会への貢献とその継続的拡大
2,1,39.49150085449219,445.55316162109375,804.334228515625,458.42315673828125,"当社の「経営理念」には、社会に対する貢献度を高め、世の中のためになくてはならない企業であり続けたいという想いとともに、マブチグループに属するすべての人達が、
「企業の一員として仕事"
2,2,39.4270133972168,460.4314880371094,809.4378051757812,473.3014831542969,"を通じて社会貢献に参画すること」、
「人間だけではなく自然や環境、その他万物すべてを大切に思い、物質的な豊かさのみにとらわれない心の充実を得ることによって人間的な成長を遂げること」"
2,3,39.55598831176758,475.3098449707031,664.1181640625,488.1798400878906,への想いが込められています。「経営理念」は企業経営を行う上での根本的な思想であると同時に、マブチモーターの遺伝子として社員に受け継がれています。
2,4,47.117698669433594,388.2451477050781,89.29703521728516,400.34619140625,経営理念
2,5,111.25969696044922,502.24603271484375,498.04302978515625,515.1160278320312,1． より良い製品をより安く供給することにより、豊かな社会と人々の快適な生活の実現に寄与する
2,6,111.25969696044922,517.1243896484375,596.8662719726562,529.994384765625,2．広く諸外国において雇用機会の提供と技術移転を行い、それらの国の経済発展と国際的な経済格差の平準化に貢献する
2,7,111.25969696044922,532.0027465820312,474.6881103515625,544.8727416992188,3．人を最も重要な経営資源と位置付け、仕事を通じて人を活かし、社会に役立つ人を育てる
2,8,111.25969696044922,546.881103515625,372.4192199707031,559.7510986328125,4． 地球環境と人々の健康を犠牲にすることのない企業活動を行う
2,9,47.117698669433594,507.3002624511719,89.29703521728516,519.4013061523438,経営基軸
2,10,38.267601013183594,230.9899444580078,405.7510681152344,259.40228271484375,小型・軽量・高効率のモーターをコアに、
2,11,38.267601013183594,261.21923828125,394.0286865234375,289.6315612792969,幅広い分野で「動き」のソリューションを
2,12,37.32917404174805,291.4485168457031,295.73760986328125,319.86083984375,ご提供し、人々の豊かな生活や
2,13,38.267601013183594,321.67779541015625,347.388916015625,350.0901184082031,産業の発展に貢献してまいります。
2,14,805.9420776367188,13.677497863769531,812.6403198242188,32.483177185058594,1
3,0,805.9420776367188,15.677497863769531,812.6403198242188,34.483177185058594,1
3,1,39.684898376464844,325.14031982421875,179.70526123046875,341.275146484375,次なるステージへ、変革の時
3,2,39.684898376464844,350.7775573730469,413.3663330078125,363.6475524902344,マブチモーターは、創業以来、時代の変化を柔軟に捉えながら成長を続けてまいりました。
3,3,39.684898376464844,365.6558837890625,408.4865417480469,378.52587890625,玩具・模型用モーターの開発から始まり、音響・映像機器や自動車電装機器へと事業領域をシ
